# freq, energy, cw_energy, ccw_energy
1.100900000000000522e-04 1.428708779444534969e+02 1.428673417116445989e+02 3.536232808882364999e-03
1.110247655036131480e-04 1.028615730753863602e+02 1.028528629838813373e+02 8.710091505030105943e-03
1.119674680273618822e-04 8.337929629825457312e+01 8.336426157889815158e+01 1.503471935642214548e-02
1.129181749638581857e-04 7.121101934165290004e+01 7.118882747949555778e+01 2.219186215734106696e-02
1.138769542779389285e-04 6.264404123944844116e+01 6.261406073681104090e+01 2.998050263739991672e-02
1.148438745115254759e-04 5.616888074666709940e+01 5.613062372099665964e+01 3.825702567043547803e-02
1.158190047885227652e-04 5.103932225465911188e+01 5.099241052008938624e+01 4.691173456972291128e-02
1.168024148197618439e-04 4.683786813089584911e+01 4.678201084966288192e+01 5.585728123296924974e-02
1.177941749079824431e-04 4.330991701316457920e+01 4.324489487412811428e+01 6.502213903646425486e-02
1.187943559528598130e-04 4.028999452570978690e+01 4.021564795888350119e+01 7.434656682628403013e-02
1.198030294560723381e-04 3.766513801063305777e+01 3.758135806971689163e+01 8.377994091616634831e-02
1.208202675264135641e-04 3.535515797991614306e+01 3.526187908075814192e+01 9.327889915799771059e-02
1.218461428849474570e-04 3.330128578359845903e+01 3.319847978672320465e+01 1.028059968752590286e-01
1.228807288702063124e-04 3.145929438911687015e+01 3.134696568788739057e+01 1.123287012294799520e-01
1.239240994434345810e-04 2.979514618857299979e+01 2.967332757030514756e+01 1.218186182678518414e-01
1.249763291938753697e-04 2.828213806447196887e+01 2.815088717922851558e+01 1.312508852434525752e-01
1.260374933441036195e-04 2.689896994049350454e+01 2.675836625687830406e+01 1.406036836152007863e-01
1.271076677554027314e-04 2.562840283777322981e+01 2.547854499549172402e+01 1.498578422815062539e-01
1.281869289331887484e-04 2.445630460571187470e+01 2.429730809602472874e+01 1.589965096871463202e-01
1.292753540324788548e-04 2.337095731921915842e+01 2.320295243976162780e+01 1.680048794575318416e-01
1.303730208634073357e-04 2.236254539356154680e+01 2.218567543525825414e+01 1.768699583032917189e-01
1.314800078967885916e-04 2.142277108448617540e+01 2.123719071670297964e+01 1.855803677831930898e-01
1.325963942697260141e-04 2.054456143651188071e+01 2.035043526297719652e+01 1.941261735346832551e-01
1.337222597912703830e-04 1.972184197006459883e+01 1.951934323302034713e+01 2.024987370442541679e-01
1.348576849481243416e-04 1.894935980587909441e+01 1.873866921977271716e+01 2.106905861063742835e-01
1.360027509103972881e-04 1.822254391031751908e+01 1.800384860939333720e+01 2.186953009241829615e-01
1.371575395374072118e-04 1.753739356115698200e+01 1.731088614774255774e+01 2.265074134144262064e-01
1.383221333835331086e-04 1.689038851273857134e+01 1.665626619499197147e+01 2.341223177466003891e-01
1.394966157041171333e-04 1.627841602184381742e+01 1.603687983133482930e+01 2.415361905089880301e-01
1.406810704614154062e-04 1.569871110194479513e+01 1.544996518276602160e+01 2.487459191787736446e-01
1.418755823306014569e-04 1.514880724946062607e+01 1.489305821166179555e+01 2.557490377988305141e-01
1.430802367058185394e-04 1.462649552935938679e+01 1.436395186041552741e+01 2.625436689438571114e-01
1.442951197062853979e-04 1.412979038567626766e+01 1.386066191447244478e+01 2.691284712038226612e-01
1.455203181824516075e-04 1.365690090147838553e+01 1.338139830994774648e+01 2.755025915306387740e-01
1.467559197222077761e-04 1.320620650481314051e+01 1.292454088292250880e+01 2.816656218906309905e-01
1.480020126571458361e-04 1.277623632515508589e+01 1.248861876541012528e+01 2.876175597449605603e-01
1.492586860688743593e-04 1.236565156521356279e+01 1.207229279326728744e+01 2.933587719462748544e-01
1.505260297953871880e-04 1.197323037757499087e+01 1.167434041588000682e+01 2.988899616949819427e-01
1.518041344374850010e-04 1.159785483320832888e+01 1.129364269496345408e+01 3.042121382448748634e-01
1.530930913652532328e-04 1.123849964577044247e+01 1.092917305668349925e+01 3.093265890869416612e-01
1.543929927245929273e-04 1.089422237668607885e+01 1.057998752231272199e+01 3.142348543733565203e-01
1.557039314438093535e-04 1.056415489471550906e+01 1.024521619134353223e+01 3.189387033719761622e-01
1.570260012402540175e-04 1.024749590288013934e+01 9.924055790114268305e+00 3.234401127658703690e-01
1.583592966270257099e-04 9.943504377244144266e+00 9.615763130610817555e+00 3.277412466333268215e-01
1.597039129197260062e-04 9.651493787742174035e+00 9.319649349780423364e+00 3.318444379617515594e-01
1.610599462432737495e-04 9.370826992211087614e+00 9.035074820646519456e+00 3.357521715645690463e-01
1.624274935387773464e-04 9.100911711986416464e+00 8.761444643702590795e+00 3.394670682838253351e-01
1.638066525704638763e-04 8.841196511598919727e+00 8.498204641225809652e+00 3.429918703731094087e-01
1.651975219326693768e-04 8.591167216838378806e+00 8.244837788872510842e+00 3.463294279658687413e-01
1.666002010568859947e-04 8.350343715205518436e+00 8.000861028662157537e+00 3.494826865433600660e-01
1.680147902188714793e-04 8.118277090910176241e+00 7.765822415585557081e+00 3.524546753246187158e-01
1.694413905458164366e-04 7.894547053394335379e+00 7.539298556886343761e+00 3.552484965079917290e-01
1.708801040235751985e-04 7.678759624090671032e+00 7.320892308790489800e+00 3.578673153001819540e-01
1.723310335039553750e-04 7.470545050968059542e+00 7.110230700293647566e+00 3.603143506744119207e-01
1.737942827120711844e-04 7.269555924511261757e+00 6.906963057706853704e+00 3.625928668044081649e-01
1.752699562537591248e-04 7.075465472264268030e+00 6.710759307138828511e+00 3.647061651254400183e-01
1.767581596230548768e-04 6.887966012033492014e+00 6.521308435055772179e+00 3.666575769777190574e-01
